,Season,Lg,Team,W,L,W/L%,Finish,SRS,Unnamed: 8,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Unnamed: 15,Playoffs,Coaches,Top WS
0,2019-20,NBA,New Orleans Pelicans,30,42,0.41700000000000004,5th of 5,-0.55,,103.7,3.4,110.7,0.1,111.9,1.3,,,A. Gentry (30-42),B. Ingram (5.1)
1,2018-19,NBA,New Orleans Pelicans,33,49,0.402,4th of 5,-1.1,,103.3,3.3,111.4,1.0,112.6,2.2,,,A. Gentry (33-49),A. Davis (9.5)
2,2017-18,NBA,New Orleans Pelicans*,48,34,0.585,2nd of 5,1.48,,100.5,3.2,109.6,1.0,108.3,-0.3,,Lost W. Conf. Semis,A. Gentry (48-34),A. Davis (13.7)
3,2016-17,NBA,New Orleans Pelicans,34,48,0.415,4th of 5,-1.69,,98.0,1.6,105.2,-3.6,107.4,-1.4,,,A. Gentry (34-48),A. Davis (11.0)
4,2015-16,NBA,New Orleans Pelicans,30,52,0.366,5th of 5,-3.56,,96.8,1.0,105.6,-0.8,109.5,3.1,,,A. Gentry (30-52),A. Davis (7.2)
5,2014-15,NBA,New Orleans Pelicans*,45,37,0.5489999999999999,5th of 5,1.13,,91.4,-2.5,108.2,2.6,107.3,1.7,,Lost W. Conf. 1st Rnd.,M. Williams (45-37),A. Davis (14.0)
6,2013-14,NBA,New Orleans Pelicans,34,48,0.415,5th of 5,-1.98,,92.2,-1.7,107.2,0.5,110.1,3.4,,,M. Williams (34-48),A. Davis (10.4)
7,2012-13,NBA,New Orleans Hornets,27,55,0.32899999999999996,5th of 5,-3.12,,88.5,-3.5,105.7,-0.2,110.1,4.2,,,M. Williams (27-55),R. Anderson (6.5)
8,2011-12,NBA,New Orleans Hornets,21,45,0.318,5th of 5,-3.11,,88.3,-3.0,100.9,-3.7,105.1,0.5,,,M. Williams (21-45),J. Jack (3.8)
9,2010-11,NBA,New Orleans Hornets*,46,36,0.561,3rd of 5,1.28,,88.7,-3.4,106.2,-1.1,105.2,-2.1,,Lost W. Conf. 1st Rnd.,M. Williams (46-36),C. Paul (13.9)
10,2009-10,NBA,New Orleans Hornets,37,45,0.451,5th of 5,-2.27,,92.6,-0.1,107.4,-0.2,110.1,2.5,,,"B. Scott (3-6), J. Bower (34-39)",D. West (7.5)
11,2008-09,NBA,New Orleans Hornets*,49,33,0.598,4th of 5,1.41,,87.8,-3.9,108.7,0.4,107.0,-1.3,,Lost W. Conf. 1st Rnd.,B. Scott (49-33),C. Paul (18.3)
12,2007-08,NBA,New Orleans Hornets*,56,26,0.6829999999999999,1st of 5,5.46,,89.9,-2.5,111.5,4.0,105.7,-1.8,,Lost W. Conf. Semis,B. Scott (56-26),C. Paul (17.8)
13,2006-07,NBA,New Orleans/Oklahoma City Hornets,39,43,0.47600000000000003,4th of 5,-1.19,,90.2,-1.7,104.8,-1.7,106.5,0.0,,,B. Scott (39-43),C. Paul (8.8)
14,2005-06,NBA,New Orleans/Oklahoma City Hornets,38,44,0.46299999999999997,4th of 5,-2.51,,89.0,-1.5,103.7,-2.5,106.8,0.6,,,B. Scott (38-44),C. Paul (10.4)
15,2004-05,NBA,New Orleans Hornets,18,64,0.22,5th of 5,-6.3,,87.6,-3.3,99.7,-6.4,107.7,1.6,,,B. Scott (18-64),P. Brown (6.9)
16,2003-04,NBA,New Orleans Hornets*,41,41,0.5,3rd of 8,-0.72,,89.1,-1.0,102.3,-0.6,102.4,-0.5,,Lost E. Conf. 1st Rnd.,T. Floyd (41-41),P. Brown (8.1)
17,2002-03,NBA,New Orleans Hornets*,47,35,0.573,3rd of 8,1.52,,89.4,-1.6,103.9,0.3,101.6,-2.0,,Lost E. Conf. 1st Rnd.,P. Silas (47-35),P. Brown (10.2)
