,Season,Lg,Team,W,L,W/L%,Finish,SRS,Unnamed: 8,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Unnamed: 15,Playoffs,Coaches,Top WS
0,2019-20,NBA,Orlando Magic*,33,40,0.452,2nd of 5,-0.93,,98.6,-1.7,108.5,-2.1,109.5,-1.1,,,S. Clifford (33-40),N. Vučević (6.4)
1,2018-19,NBA,Orlando Magic*,42,40,0.512,1st of 5,0.28,,98.1,-1.9,108.9,-1.5,108.1,-2.3,,Lost E. Conf. 1st Rnd.,S. Clifford (42-40),N. Vučević (10.1)
2,2017-18,NBA,Orlando Magic,25,57,0.305,4th of 5,-4.92,,98.1,0.8,105.2,-3.4,110.1,1.5,,,F. Vogel (25-57),D. Augustin (4.1)
3,2016-17,NBA,Orlando Magic,29,53,0.354,5th of 5,-6.61,,96.8,0.4,103.7,-5.1,110.5,1.7,,,F. Vogel (29-53),E. Payton (4.4)
4,2015-16,NBA,Orlando Magic,35,47,0.42700000000000005,5th of 5,-1.68,,96.0,0.2,105.1,-1.3,106.8,0.4,,,S. Skiles (35-47),E. Fournier (5.7)
5,2014-15,NBA,Orlando Magic,25,57,0.305,5th of 5,-5.87,,93.8,-0.1,101.6,-4.0,107.7,2.1,,,"J. Vaughn (15-37), J. Borrego (10-20)",N. Vučević (7.0)
6,2013-14,NBA,Orlando Magic,23,59,0.28,5th of 5,-5.88,,93.6,-0.3,101.7,-5.0,107.4,0.7,,,J. Vaughn (23-59),A. Afflalo (5.3)
7,2012-13,NBA,Orlando Magic,20,62,0.244,5th of 5,-7.12,,92.2,0.2,101.6,-4.3,109.1,3.2,,,J. Vaughn (20-62),N. Vučević (5.7)
8,2011-12,NBA,Orlando Magic*,37,29,0.561,3rd of 5,0.46,,89.0,-2.3,105.0,0.4,104.1,-0.5,,Lost E. Conf. 1st Rnd.,S. Van Gundy (37-29),R. Anderson (8.9)
9,2010-11,NBA,Orlando Magic*,52,30,0.634,2nd of 5,4.92,,91.2,-0.9,107.9,0.6,102.0,-5.3,,Lost E. Conf. 1st Rnd.,S. Van Gundy (52-30),D. Howard (14.4)
10,2009-10,NBA,Orlando Magic*,59,23,0.72,1st of 5,7.12,,92.0,-0.7,111.4,3.8,103.3,-4.3,,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Howard (13.2)
11,2008-09,NBA,Orlando Magic*,59,23,0.72,1st of 5,6.48,,92.3,0.6,109.2,0.9,101.9,-6.4,,Lost Finals,S. Van Gundy (59-23),D. Howard (13.8)
12,2007-08,NBA,Orlando Magic*,52,30,0.634,1st of 5,4.79,,93.4,1.0,111.3,3.8,105.5,-2.0,,Lost E. Conf. Semis,S. Van Gundy (52-30),D. Howard (12.9)
13,2006-07,NBA,Orlando Magic*,40,42,0.488,3rd of 5,0.35,,89.9,-2.0,104.9,-1.6,104.1,-2.4,,Lost E. Conf. 1st Rnd.,B. Hill (40-42),D. Howard (9.7)
14,2005-06,NBA,Orlando Magic,36,46,0.439,3rd of 5,-1.26,,88.3,-2.2,106.3,0.1,107.5,1.3,,,B. Hill (36-46),D. Howard (8.6)
15,2004-05,NBA,Orlando Magic,36,46,0.439,3rd of 5,-2.52,,94.7,3.8,104.9,-1.2,107.3,1.2,,,"J. Davis (31-33), C. Jent (5-13)",D. Howard (7.3)
16,2003-04,NBA,Orlando Magic,21,61,0.256,7th of 7,-7.25,,90.8,0.7,102.7,-0.2,110.4,7.5,,,"D. Rivers (1-10), J. Davis (20-51)",T. McGrady (8.4)
17,2002-03,NBA,Orlando Magic*,42,40,0.512,4th of 7,-0.39,,93.1,2.1,105.2,1.6,105.0,1.4,,Lost E. Conf. 1st Rnd.,D. Rivers (42-40),T. McGrady (16.1)
18,2001-02,NBA,Orlando Magic*,44,38,0.537,3rd of 7,1.25,,93.2,2.5,107.0,2.5,105.3,0.8,,Lost E. Conf. 1st Rnd.,D. Rivers (44-38),T. McGrady (11.5)
